Contig.primaryIdentifier	Contig.length	Contig.blastHits.score	Contig.blastHits.blastDomain.symbol	Contig.blastHits.blastDomain.description	Contig.blastHits.blastDomain.species	Contig.blastHits.blastDomain.primaryIdentifier
dd_Smed_v6_8355_0_8	5091	5.00E-180	MADD DENN IG20 RAB3GEP	MAP kinase activating death domain	Homo sapiens	XP_005253263.1
dd_Smed_v6_8355_0_9	5062	5.00E-178	MADD DENN IG20 RAB3GEP	MAP-kinase activating death domain	Homo sapiens	NP_569830.2
dd_Smed_v6_8358_0_1	827	2.00E-94	METTL1 C12orf1 TRM8 TRMT8 YDL201w	methyltransferase like 1	Homo sapiens	NP_005362.3
dd_Smed_v6_835_0_1	1648	1.00E-105	SNX2 TRG-9	sorting nexin 2	Homo sapiens	NP_001265128.1
dd_Smed_v6_835_0_2	1636	4.00E-108	SNX2 TRG-9	sorting nexin 2	Homo sapiens	NP_001265128.1
dd_Smed_v6_83623_0_1	412	1.00E-64	TCP1 CCT-alpha CCT1 CCTa D6S230E TCP-1-alpha	t-complex 1	Homo sapiens	NP_110379.2
dd_Smed_v6_8362_0_1	1238	8.00E-11	WDR54	WD repeat domain 54	Homo sapiens	NP_115494.1
dd_Smed_v6_83668_0_1	430	9.00E-10	DNAI1 CILD1 DIC1 ICS1 PCD	dynein axonemal intermediate chain 1	Homo sapiens	NP_036276.1
dd_Smed_v6_8367_0_1	993	6.00E-81	CDC34 E2-CDC34 UBC3 UBCH3 UBE2R1	cell division cycle 34	Homo sapiens	NP_004350.1
dd_Smed_v6_836_0_1	1063	4.00E-105	SEC13 D3S1231E SEC13L1 SEC13R npp-20	"SEC13 homolog, nuclear pore and COPII coat complex component"	Homo sapiens	NP_899195.1
dd_Smed_v6_8370_0_1	1594	1.00E-71	MAP2K5 HsT17454 MAPKK5 MEK5 PRKMK5	mitogen-activated protein kinase kinase 5	Homo sapiens	NP_660143.1
dd_Smed_v6_8372_0_1	3778	6.00E-18	HEATR6 ABC1	HEAT repeat containing 6	Homo sapiens	XP_005257627.1
dd_Smed_v6_8372_0_2	3345	5.00E-11	HEATR6 ABC1	HEAT repeat containing 6	Homo sapiens	XP_005257627.1
dd_Smed_v6_8373_0_1	1437	1.00E-59	MFSD7	major facilitator superfamily domain containing 7	Homo sapiens	NP_115595.2
dd_Smed_v6_8376_0_1	2699	7.00E-73	ELAVL4 HUD PNEM	ELAV like neuron-specific RNA binding protein 4	Homo sapiens	NP_001138246.1
dd_Smed_v6_8383_0_1	2681	5.00E-144	MIPEP HMIP MIP	mitochondrial intermediate peptidase	Homo sapiens	NP_005923.2
dd_Smed_v6_8386_0_1	2742	6.00E-151	TRIM9 RNF91 SPRING	tripartite motif containing 9	Homo sapiens	NP_055978.4
dd_Smed_v6_8387_0_1	1660	7.00E-70	CYP2B6 CPB6 CYP2B CYP2B7 CYP2B7P CYPIIB6 EFVM IIB1 P450	cytochrome P450 family 2 subfamily B member 6	Homo sapiens	NP_000758.1
dd_Smed_v6_83886_0_1	323	8.00E-36	DNAH5 CILD3 DNAHC5 HL1 KTGNR PCD	dynein axonemal heavy chain 5	Homo sapiens	NP_001360.1
dd_Smed_v6_838_0_1	1041	5.00E-46	REEP6 C19orf32 DP1L1 TB2L1	receptor accessory protein 6	Homo sapiens	NP_612402.1
dd_Smed_v6_8392_0_1	1846	0	TPH1 TPRH TRPH	tryptophan hydroxylase 1	Homo sapiens	NP_004170.1
dd_Smed_v6_8392_0_2	1796	0	TPH1 TPRH TRPH	tryptophan hydroxylase 1	Homo sapiens	NP_004170.1
dd_Smed_v6_8393_0_1	1375	2.00E-60	SUMF2 pFGE	sulfatase modifying factor 2	Homo sapiens	NP_056226.2
dd_Smed_v6_8395_0_1	2073	3.00E-27	TRIM56 RNF109	tripartite motif containing 56	Homo sapiens	NP_112223.1
dd_Smed_v6_8396_0_1	1537	1.00E-57	KCNN2 KCa2.2 SK2 SKCA2 SKCa 2 hSK2	potassium calcium-activated channel subfamily N member 2	Homo sapiens	NP_067627.2
dd_Smed_v6_8396_0_2	1512	1.00E-57	KCNN2 KCa2.2 SK2 SKCA2 SKCa 2 hSK2	potassium calcium-activated channel subfamily N member 2	Homo sapiens	NP_067627.2
dd_Smed_v6_8396_0_3	1508	1.00E-57	KCNN2 KCa2.2 SK2 SKCA2 SKCa 2 hSK2	potassium calcium-activated channel subfamily N member 2	Homo sapiens	NP_067627.2
dd_Smed_v6_8397_0_1	1152	1.00E-82	CDIPT PIS PIS1	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	Homo sapiens	NP_006310.1
dd_Smed_v6_8398_0_1	2846	5.00E-91	DPP9 DP9 DPLP9 DPRP-2 DPRP2	dipeptidyl-peptidase 9	Homo sapiens	NP_631898.3
dd_Smed_v6_839_0_1	1143	8.00E-47	RPL6 L6 SHUJUN-2 TAXREB107 TXREB1	ribosomal protein L6	Homo sapiens	XP_005253977.1
dd_Smed_v6_83_0_1	1969	0	TUBB4B Beta2 TUBB2 TUBB2C	tubulin beta 4B class IVb	Homo sapiens	NP_006079.1
dd_Smed_v6_83_0_2	1823	0	TUBB4B Beta2 TUBB2 TUBB2C	tubulin beta 4B class IVb	Homo sapiens	NP_006079.1
dd_Smed_v6_83_0_3	1644	0	TUBB4B Beta2 TUBB2 TUBB2C	tubulin beta 4B class IVb	Homo sapiens	NP_006079.1
dd_Smed_v6_8401_0_1	2358	2.00E-108	NME8 CILD6 NM23-H8 SPTRX2 TXNDC3 sptrx-2	NME/NM23 family member 8	Homo sapiens	NP_057700.3
dd_Smed_v6_8403_0_1	1656	1.00E-45	SMPDL3B ASML3B	sphingomyelin phosphodiesterase acid like 3B	Homo sapiens	NP_055289.2
dd_Smed_v6_8406_0_1	2423	2.00E-156	PCSK1 BMIQ12 NEC1 PC1 PC3 SPC3	proprotein convertase subtilisin/kexin type 1	Homo sapiens	NP_000430.3
dd_Smed_v6_8406_0_2	2380	1.00E-156	PCSK1 BMIQ12 NEC1 PC1 PC3 SPC3	proprotein convertase subtilisin/kexin type 1	Homo sapiens	NP_000430.3
dd_Smed_v6_8406_0_3	2143	9.00E-158	PCSK1 BMIQ12 NEC1 PC1 PC3 SPC3	proprotein convertase subtilisin/kexin type 1	Homo sapiens	NP_000430.3
dd_Smed_v6_8407_0_1	2465	6.00E-130	SIDT1 B830021E24Rik SID-1 SID1	"SID1 transmembrane family, member 1"	Homo sapiens	NP_060169.2
dd_Smed_v6_8408_0_1	2688	3.00E-61	GPR158	G protein-coupled receptor 158	Homo sapiens	NP_065803.2
dd_Smed_v6_840_0_1	4410	2.00E-14	COL1A1 OI4	"collagen, type I, alpha 1"	Homo sapiens	NP_000079.2
dd_Smed_v6_8411_0_1	557	2.00E-43	EDF1 EDF-1 MBF1	endothelial differentiation-related factor 1	Homo sapiens	NP_003783.1
dd_Smed_v6_8412_0_1	643	2.00E-08	DNAJB7 DJ5 HSC3	"DnaJ (Hsp40) homolog, subfamily B, member 7"	Homo sapiens	NP_660157.1
dd_Smed_v6_8413_0_1	1110	9.00E-36	GCNT2 CCAT CTRCT13 GCNT2C GCNT5 IGNT II NACGT1 NAGCT1 ULG3 bA360O19.2 bA421M1.1	"glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)"	Homo sapiens	NP_001482.1
dd_Smed_v6_8415_0_1	1076	2.00E-53	LZTFL1 BBS17	leucine zipper transcription factor like 1	Homo sapiens	NP_065080.1
dd_Smed_v6_8416_0_1	1640	1.00E-48	EIF2D HCA56 LGTN	eukaryotic translation initiation factor 2D	Homo sapiens	NP_008824.2
dd_Smed_v6_84171_0_1	248	4.00E-22	CDKL4	cyclin-dependent kinase-like 4	Homo sapiens	XP_006712067.1
dd_Smed_v6_84197_0_1	558	9.00E-13	BCL2L1 BCL-XL/S BCL2L BCLX BCLXL BCLXS Bcl-X PPP1R52 bcl-xL bcl-xS	BCL2-like 1	Homo sapiens	XP_005260538.1
dd_Smed_v6_8420_0_1	2134	3.00E-79	SASS6 SAS-6 SAS6	spindle assembly 6 homolog (C. elegans)	Homo sapiens	NP_919268.1
dd_Smed_v6_8421_0_1	2204	6.00E-64	XRCC5 KARP-1 KARP1 KU80 KUB2 Ku86 NFIV	X-ray repair complementing defective repair in Chinese hamster cells 5	Homo sapiens	NP_066964.1
dd_Smed_v6_8422_0_1	1574	1.00E-171	FUCA2 dJ20N2.5	"fucosidase, alpha-L- 2, plasma"	Homo sapiens	NP_114409.2
dd_Smed_v6_8423_0_1	2273	1.00E-89	GNPAT DAP-AT DAPAT DHAPAT	glyceronephosphate O-acyltransferase	Homo sapiens	NP_055051.1
dd_Smed_v6_8425_0_1	7019	2.00E-35	CELSR1 CDHF9 FMI2 HFMI2 ME2	"cadherin, EGF LAG seven-pass G-type receptor 1"	Homo sapiens	NP_055061.1
dd_Smed_v6_8433_0_1	1994	2.00E-82	KDM2B CXXC2 FBXL10 Fbl10 JHDM1B PCCX2	lysine (K)-specific demethylase 2B	Homo sapiens	NP_001005366.1
dd_Smed_v6_8433_0_3	1933	1.00E-88	KDM2B CXXC2 FBXL10 Fbl10 JHDM1B PCCX2	lysine (K)-specific demethylase 2B	Homo sapiens	NP_115979.3
dd_Smed_v6_8433_0_4	1884	9.00E-105	KDM2A CXXC8 FBL11 FBL7 FBXL11 JHDM1A LILINA	lysine demethylase 2A	Homo sapiens	NP_036440.1
dd_Smed_v6_8439_0_1	672	2.00E-59	RPS6KB2 KLS P70-beta P70-beta-1 P70-beta-2 S6K-beta2 S6K2 SRK STK14B p70(S6K)-beta p70S6Kb	ribosomal protein S6 kinase B2	Homo sapiens	NP_003943.2
dd_Smed_v6_8440_0_1	1136	9.00E-90	DERA DEOC	deoxyribose-phosphate aldolase (putative)	Homo sapiens	NP_057038.2
dd_Smed_v6_8442_0_1	1722	1.00E-52	EPN2 EHB21	epsin 2	Homo sapiens	XP_006721539.1
dd_Smed_v6_8443_0_1	1797	8.00E-49	TP53BP2 53BP2 ASPP2 BBP P53BP2 PPP1R13A	tumor protein p53 binding protein 2	Homo sapiens	NP_005417.1
dd_Smed_v6_8444_0_1	2471	2.00E-87	DYNC1LI1 DNCLI1 LIC1	dynein cytoplasmic 1 light intermediate chain 1	Homo sapiens	NP_057225.2
dd_Smed_v6_8445_0_1	768	2.00E-27	RTFDC1 C20orf43 CDAO5 HSPC164 SHUJUN-3	replication termination factor 2 domain containing 1	Homo sapiens	NP_001269966.1
dd_Smed_v6_8445_0_2	726	1.00E-27	RTFDC1 C20orf43 CDAO5 HSPC164 SHUJUN-3	replication termination factor 2 domain containing 1	Homo sapiens	NP_001269966.1
dd_Smed_v6_8446_0_1	1227	3.00E-23	RMND1 C6orf96 COXPD11 RMD1 bA351K16 bA351K16.3	required for meiotic nuclear division 1 homolog	Homo sapiens	NP_001258866.1
dd_Smed_v6_8446_0_2	1182	1.00E-26	RMND1 C6orf96 COXPD11 RMD1 bA351K16 bA351K16.3	required for meiotic nuclear division 1 homolog	Homo sapiens	NP_001258866.1
dd_Smed_v6_8446_0_3	1104	2.00E-10	RMND1 C6orf96 COXPD11 RMD1 bA351K16 bA351K16.3	required for meiotic nuclear division 1 homolog	Homo sapiens	NP_001258866.1
dd_Smed_v6_8446_0_6	1059	4.00E-14	RMND1 C6orf96 COXPD11 RMD1 bA351K16 bA351K16.3	required for meiotic nuclear division 1 homolog	Homo sapiens	XP_005267097.1
dd_Smed_v6_8449_0_1	2842	2.00E-30	MAP3K11 MEKK11 MLK-3 MLK3 PTK1 SPRK	mitogen-activated protein kinase kinase kinase 11	Homo sapiens	NP_002410.1
dd_Smed_v6_8449_0_2	2791	2.00E-30	MAP3K11 MEKK11 MLK-3 MLK3 PTK1 SPRK	mitogen-activated protein kinase kinase kinase 11	Homo sapiens	NP_002410.1
dd_Smed_v6_84558_0_1	230	6.00E-20	RPS20 S20	ribosomal protein S20	Homo sapiens	NP_001014.1
dd_Smed_v6_84559_0_1	227	3.00E-35	APOH B2G1 B2GP1 BG	apolipoprotein H (beta-2-glycoprotein I)	Homo sapiens	NP_000033.2
dd_Smed_v6_8458_0_1	1191	8.00E-68	GTPBP10 ObgH2	GTP-binding protein 10 (putative)	Homo sapiens	NP_149098.2
dd_Smed_v6_845_0_1	732	1.00E-15	COX4I2 COX4 COX4-2 COX4B COX4L2 COXIV-2 dJ857M17.2	cytochrome c oxidase subunit IV isoform 2 (lung)	Homo sapiens	NP_115998.2
dd_Smed_v6_8462_0_1	12532	1.00E-98	PRKDC DNA-PKcs DNAPK DNPK1 HYRC HYRC1 XRCC7 p350	"protein kinase, DNA-activated, catalytic polypeptide"	Homo sapiens	NP_008835.5
dd_Smed_v6_8462_0_2	12500	1.00E-98	PRKDC DNA-PKcs DNAPK DNPK1 HYRC HYRC1 XRCC7 p350	"protein kinase, DNA-activated, catalytic polypeptide"	Homo sapiens	NP_008835.5
dd_Smed_v6_84636_0_1	395	7.00E-43	CPSF3 CPSF-73 CPSF73	cleavage and polyadenylation specific factor 3	Homo sapiens	NP_057291.1
dd_Smed_v6_8465_0_1	4093	3.00E-74	PHTF2	putative homeodomain transcription factor 2	Homo sapiens	NP_065165.3
dd_Smed_v6_8466_0_1	1174	6.00E-70	PPTC7 TA-PP2C TAPP2C	PTC7 protein phosphatase homolog	Homo sapiens	NP_644812.1
dd_Smed_v6_8467_0_10	4004	3.00E-32	DEPDC5 DEP.5 FFEVF	DEP domain containing 5	Homo sapiens	XP_006724448.1
dd_Smed_v6_8467_0_11	3984	2.00E-31	DEPDC5 DEP.5 FFEVF	DEP domain containing 5	Homo sapiens	XP_005261923.1
dd_Smed_v6_8467_0_12	3979	2.00E-31	DEPDC5 DEP.5 FFEVF	DEP domain containing 5	Homo sapiens	XP_005261923.1
dd_Smed_v6_8467_0_13	3957	4.00E-31	DEPDC5 DEP.5 FFEVF	DEP domain containing 5	Homo sapiens	XP_005261923.1
dd_Smed_v6_8467_0_14	3952	4.00E-31	DEPDC5 DEP.5 FFEVF	DEP domain containing 5	Homo sapiens	XP_005261923.1
dd_Smed_v6_8467_0_23	3848	2.00E-31	DEPDC5 DEP.5 FFEVF	DEP domain containing 5	Homo sapiens	XP_005261923.1
dd_Smed_v6_8467_0_25	3821	3.00E-31	DEPDC5 DEP.5 FFEVF	DEP domain containing 5	Homo sapiens	XP_005261923.1
dd_Smed_v6_8467_0_27	3798	2.00E-31	DEPDC5 DEP.5 FFEVF	DEP domain containing 5	Homo sapiens	XP_005261923.1
dd_Smed_v6_8467_0_29	3771	3.00E-31	DEPDC5 DEP.5 FFEVF	DEP domain containing 5	Homo sapiens	XP_005261923.1
dd_Smed_v6_8467_0_31	3766	4.00E-31	DEPDC5 DEP.5 FFEVF	DEP domain containing 5	Homo sapiens	XP_005261923.1
dd_Smed_v6_8467_0_41	3638	6.00E-34	DEPDC5 DEP.5 FFEVF	DEP domain containing 5	Homo sapiens	XP_005261921.1
dd_Smed_v6_8467_0_44	3574	1.00E-33	DEPDC5 DEP.5 FFEVF	DEP domain containing 5	Homo sapiens	NP_055477.1
dd_Smed_v6_8467_0_47	3030	1.00E-31	DEPDC5 DEP.5 FFEVF	DEP domain containing 5	Homo sapiens	XP_005261923.1
dd_Smed_v6_8467_0_48	3003	2.00E-31	DEPDC5 DEP.5 FFEVF	DEP domain containing 5	Homo sapiens	XP_005261923.1
dd_Smed_v6_8467_0_7	4034	2.00E-31	DEPDC5 DEP.5 FFEVF	DEP domain containing 5	Homo sapiens	XP_005261923.1
dd_Smed_v6_8467_0_8	4031	2.00E-32	DEPDC5 DEP.5 FFEVF	DEP domain containing 5	Homo sapiens	NP_001229825.1
dd_Smed_v6_8467_0_9	4007	4.00E-31	DEPDC5 DEP.5 FFEVF	DEP domain containing 5	Homo sapiens	XP_005261923.1
dd_Smed_v6_8469_0_1	1874	2.00E-05	MRPS30 MRP-S30 PAP PDCD9 S30mt	mitochondrial ribosomal protein S30	Homo sapiens	NP_057724.2
dd_Smed_v6_8477_0_1	1761	0	DUS3L DUS3	dihydrouridine synthase 3 like	Homo sapiens	NP_064560.2
dd_Smed_v6_8478_0_1	3076	1.00E-72	PCDH11Y PCDH-PC PCDH22 PCDHX PCDHY	protocadherin 11 Y-linked	Homo sapiens	NP_116754.1
dd_Smed_v6_847_0_1	1878	0	CCT7 CCTETA CCTH NIP7-1 TCP1ETA	chaperonin containing TCP1 subunit 7	Homo sapiens	NP_006420.1
dd_Smed_v6_84813_0_1	342	2.00E-41	RPL31 L31	ribosomal protein L31	Homo sapiens	NP_000984.1
dd_Smed_v6_8481_0_1	1807	7.00E-28	METTL25 C12orf26	methyltransferase like 25	Homo sapiens	XP_006719699.1
dd_Smed_v6_8481_0_2	1761	2.00E-27	METTL25 C12orf26	methyltransferase like 25	Homo sapiens	XP_006719699.1
dd_Smed_v6_8481_0_4	1755	5.00E-28	METTL25 C12orf26	methyltransferase like 25	Homo sapiens	XP_006719699.1
dd_Smed_v6_8481_0_5	1709	1.00E-27	METTL25 C12orf26	methyltransferase like 25	Homo sapiens	XP_006719699.1
dd_Smed_v6_8481_0_6	1709	4.00E-20	METTL25 C12orf26	methyltransferase like 25	Homo sapiens	NP_115606.2
dd_Smed_v6_8481_0_7	1703	1.00E-20	METTL25 C12orf26	methyltransferase like 25	Homo sapiens	NP_115606.2
dd_Smed_v6_8481_0_8	1657	4.00E-20	METTL25 C12orf26	methyltransferase like 25	Homo sapiens	NP_115606.2
dd_Smed_v6_84834_0_1	632	9.00E-51	ACSS3	acyl-CoA synthetase short-chain family member 3	Homo sapiens	XP_005269208.1
dd_Smed_v6_8485_0_1	1226	3.00E-72	C9orf114 CENP-32 HSPC109	chromosome 9 open reading frame 114	Homo sapiens	NP_057474.2
dd_Smed_v6_8486_0_1	2496	4.00E-57	CHRNA9 HSA243342 NACHRA9	cholinergic receptor nicotinic alpha 9 subunit	Homo sapiens	NP_060051.2
dd_Smed_v6_8487_0_1	3349	7.00E-36	XPO1 CRM1 emb exp1	exportin 1	Homo sapiens	NP_003391.1
dd_Smed_v6_8491_0_1	2609	5.00E-27	NCAPH BRRN1 CAP-H	non-SMC condensin I complex subunit H	Homo sapiens	NP_001268640.1
dd_Smed_v6_8491_0_2	2597	5.00E-27	NCAPH BRRN1 CAP-H	non-SMC condensin I complex subunit H	Homo sapiens	NP_001268640.1
dd_Smed_v6_8492_0_1	939	5.00E-84	CLPP PRLTS3	caseinolytic mitochondrial matrix peptidase proteolytic subunit	Homo sapiens	NP_006003.1
dd_Smed_v6_8492_0_2	930	1.00E-82	CLPP PRLTS3	caseinolytic mitochondrial matrix peptidase proteolytic subunit	Homo sapiens	NP_006003.1
dd_Smed_v6_8493_0_1	3388	2.00E-62	TRPM3 GON-2 LTRPC3 MLSN2	transient receptor potential cation channel subfamily M member 3	Homo sapiens	NP_996827.3
dd_Smed_v6_8495_0_1	457	1.00E-31	EIF1 A121 EIF-1 EIF1A ISO1 SUI1	eukaryotic translation initiation factor 1	Homo sapiens	NP_005792.1
dd_Smed_v6_8496_0_1	1313	1.00E-78	GRTP1 TBC1D6	growth hormone regulated TBC protein 1	Homo sapiens	NP_078995.2
dd_Smed_v6_8497_0_1	1487	4.00E-24	FRRS1 SDFR2 SDR2	ferric chelate reductase 1	Homo sapiens	XP_005270918.1
dd_Smed_v6_8499_0_1	1507	1.00E-14	UBAC1 GBDR1 UBADC1	UBA domain containing 1	Homo sapiens	NP_057256.2
dd_Smed_v6_8499_0_2	1444	2.00E-17	UBAC1 GBDR1 UBADC1	UBA domain containing 1	Homo sapiens	NP_057256.2
dd_Smed_v6_84_0_1	410	9.00E-26	RPS21 HLDF S21	ribosomal protein S21	Homo sapiens	NP_001015.1
dd_Smed_v6_85016_0_1	393	8.00E-37	ABCB4 ABC21 GBD1 ICP3 MDR2 MDR2/3 MDR3 PFIC-3 PGY3	ATP binding cassette subfamily B member 4	Homo sapiens	NP_061338.1
dd_Smed_v6_8502_0_1	4361	6.00E-52	DICER1 DCR1 Dicer HERNA MNG1 RMSE2	"dicer 1, ribonuclease type III"	Homo sapiens	NP_085124.2
dd_Smed_v6_8504_0_1	2825	2.00E-100	NTN1 NTN1L	netrin 1	Homo sapiens	NP_004813.2
dd_Smed_v6_85063_0_1	365	2.00E-27	CDK9 C-2k CDC2L4 CTK1 PITALRE TAK	cyclin-dependent kinase 9	Homo sapiens	NP_001252.1
dd_Smed_v6_8507_0_1	4710	2.00E-27	GCC2 GCC185 RANBP2L4 REN53	GRIP and coiled-coil domain containing 2	Homo sapiens	XP_006712933.1
dd_Smed_v6_85086_0_1	401	8.00E-13	CAMK4 CaMK IV CaMK-GR IV caMK	calcium/calmodulin-dependent protein kinase IV	Homo sapiens	NP_001735.1
dd_Smed_v6_8508_0_1	1506	6.00E-140	CSNK1G1 CK1gamma1	casein kinase 1 gamma 1	Homo sapiens	NP_071331.2
dd_Smed_v6_8510_0_1	1283	2.00E-25	GTF2E1 FE TF2E1 TFIIE-A	general transcription factor IIE subunit 1	Homo sapiens	NP_005504.2
dd_Smed_v6_8515_0_1	2228	2.00E-35	CEP95 CCDC45	centrosomal protein 95	Homo sapiens	NP_612372.1
dd_Smed_v6_8516_0_1	2138	2.00E-47	QSOX1 Q6 QSCN6	quiescin sulfhydryl oxidase 1	Homo sapiens	NP_001004128.1
dd_Smed_v6_8517_0_1	1540	8.00E-65	METTL16 METT10D	methyltransferase like 16	Homo sapiens	NP_076991.3
dd_Smed_v6_8520_0_1	1429	4.00E-103	CDK9 C-2k CDC2L4 CTK1 PITALRE TAK	cyclin-dependent kinase 9	Homo sapiens	NP_001252.1
dd_Smed_v6_8522_0_1	659	3.00E-57	FCF1 Bka C14orf111 UTP24	FCF1 rRNA-processing protein	Homo sapiens	NP_057046.1
dd_Smed_v6_8523_0_1	1239	6.00E-147	BBS5	Bardet-Biedl syndrome 5	Homo sapiens	NP_689597.1
dd_Smed_v6_8526_0_1	2452	4.00E-31	MAP3K3 MAPKKK3 MEKK3	mitogen-activated protein kinase kinase kinase 3	Homo sapiens	XP_006721972.1
dd_Smed_v6_8526_0_10	1233	3.00E-05	TIGD1 EEYORE	tigger transposable element derived 1	Homo sapiens	NP_663748.1
dd_Smed_v6_8526_0_11	1209	3.00E-05	TIGD1 EEYORE	tigger transposable element derived 1	Homo sapiens	NP_663748.1
dd_Smed_v6_8526_0_12	896	1.00E-33	MAP3K3 MAPKKK3 MEKK3	mitogen-activated protein kinase kinase kinase 3	Homo sapiens	XP_006721972.1
dd_Smed_v6_8526_0_3	2355	4.00E-31	MAP3K3 MAPKKK3 MEKK3	mitogen-activated protein kinase kinase kinase 3	Homo sapiens	XP_006721972.1
dd_Smed_v6_8526_0_5	1996	2.00E-31	MAP3K3 MAPKKK3 MEKK3	mitogen-activated protein kinase kinase kinase 3	Homo sapiens	XP_006721972.1
dd_Smed_v6_8526_0_7	1899	2.00E-31	MAP3K3 MAPKKK3 MEKK3	mitogen-activated protein kinase kinase kinase 3	Homo sapiens	XP_006721972.1
dd_Smed_v6_8529_0_2	235	3.00E-06	CMC4 C6.1B MTCP1 MTCP1B MTCP1NB p8 p8MTCP1	C-x(9)-C motif containing 4	Homo sapiens	NP_001018024.1
dd_Smed_v6_8533_0_1	2971	7.00E-58	NISCH I-1 IR1 IRAS hIRAS	nischarin	Homo sapiens	NP_001263223.1
dd_Smed_v6_8533_0_2	2928	6.00E-58	NISCH I-1 IR1 IRAS hIRAS	nischarin	Homo sapiens	NP_001263223.1
dd_Smed_v6_8533_0_3	2917	6.00E-58	NISCH I-1 IR1 IRAS hIRAS	nischarin	Homo sapiens	NP_001263223.1
dd_Smed_v6_8533_0_4	2874	6.00E-58	NISCH I-1 IR1 IRAS hIRAS	nischarin	Homo sapiens	NP_001263223.1
dd_Smed_v6_8533_0_5	2177	2.00E-60	NISCH I-1 IR1 IRAS hIRAS	nischarin	Homo sapiens	NP_001263223.1
dd_Smed_v6_8533_0_6	2134	2.00E-60	NISCH I-1 IR1 IRAS hIRAS	nischarin	Homo sapiens	NP_001263223.1
dd_Smed_v6_8534_0_1	3749	9.00E-172	ATAD2B	"ATPase family, AAA domain containing 2B"	Homo sapiens	XP_005264429.2
dd_Smed_v6_8535_0_1	2068	2.00E-98	ABCD4 ABC41 EST352188 MAHCJ P70R P79R PMP69 PXMP1L	"ATP-binding cassette, sub-family D (ALD), member 4"	Homo sapiens	XP_006720286.1
dd_Smed_v6_8535_0_2	2018	3.00E-117	ABCD4 ABC41 EST352188 MAHCJ P70R P79R PMP69 PXMP1L	ATP binding cassette subfamily D member 4	Homo sapiens	NP_005041.1
dd_Smed_v6_8538_0_1	2017	7.00E-57	LOC402160	uncharacterized LOC402160	Homo sapiens	NP_001180211.2
dd_Smed_v6_853_0_1	1891	0	RPN1 OST1 RBPH1	ribophorin I	Homo sapiens	NP_002941.1
dd_Smed_v6_8543_0_1	3327	1.00E-71	PCDH1 PC42 PCDH42	protocadherin 1	Homo sapiens	NP_002578.2
dd_Smed_v6_85441_0_1	344	1.00E-31	TTR CTS CTS1 HEL111 HsT2651 PALB TBPA	transthyretin	Homo sapiens	NP_000362.1
dd_Smed_v6_8545_1_1	2242	6.00E-105	CMTR1 FTSJD2 KIAA0082 MTr1 hMTr1	cap methyltransferase 1	Homo sapiens	XP_005249012.1
dd_Smed_v6_8547_0_1	4162	0	TNKS ARTD5 PARP-5a PARP5A PARPL TIN1 TINF1 TNKS1 pART5	tankyrase	Homo sapiens	NP_003738.2
dd_Smed_v6_8549_0_1	2926	3.00E-62	INTS7 C1orf73 INT7	integrator complex subunit 7	Homo sapiens	NP_001186740.1
dd_Smed_v6_854_0_1	6198	0	DIP2C KIAA0934	disco interacting protein 2 homolog C	Homo sapiens	NP_055789.1
dd_Smed_v6_854_0_2	5952	0	DIP2C KIAA0934	disco interacting protein 2 homolog C	Homo sapiens	NP_055789.1
dd_Smed_v6_854_0_3	4718	7.00E-82	MAGI3 MAGI-3 dJ730K3.2	"membrane associated guanylate kinase, WW and PDZ domain containing 3"	Homo sapiens	NP_690864.2
dd_Smed_v6_854_0_4	4701	8.00E-82	MAGI3 MAGI-3 dJ730K3.2	"membrane associated guanylate kinase, WW and PDZ domain containing 3"	Homo sapiens	NP_690864.2
dd_Smed_v6_854_0_5	4472	2.00E-103	RAB1B	"RAB1B, member RAS oncogene family"	Homo sapiens	NP_112243.1
dd_Smed_v6_854_0_6	4455	2.00E-103	RAB1B	"RAB1B, member RAS oncogene family"	Homo sapiens	NP_112243.1
dd_Smed_v6_854_0_8	1853	4.00E-109	RAB1B	"RAB1B, member RAS oncogene family"	Homo sapiens	NP_112243.1
dd_Smed_v6_8552_0_1	1171	3.00E-08	PPID CYP-40 CYPD	peptidylprolyl isomerase D	Homo sapiens	NP_005029.1
dd_Smed_v6_8553_0_1	1847	4.00E-44	MEIS2 HsT18361 MRG1	Meis homeobox 2	Homo sapiens	NP_002390.1
dd_Smed_v6_8554_0_1	523	7.00E-07	LKAAEAR1 C20orf201	LKAAEAR motif containing 1	Homo sapiens	XP_005260257.1
dd_Smed_v6_8555_0_1	707	1.00E-28	CAV1 BSCL3 CGL3 LCCNS MSTP085 PPH3 VIP21	caveolin 1	Homo sapiens	NP_001166366.1
dd_Smed_v6_8557_0_1	1478	6.00E-33	DUSP14 MKP-L MKP6	dual specificity phosphatase 14	Homo sapiens	NP_008957.1
dd_Smed_v6_8562_0_1	3313	4.00E-100	ADAR ADAR1 AGS6 DRADA DSH DSRAD G1P1 IFI-4 IFI4 K88DSRBP P136	"adenosine deaminase, RNA-specific"	Homo sapiens	NP_001020278.1
dd_Smed_v6_8562_0_2	2359	2.00E-102	ADAR ADAR1 AGS6 DRADA DSH DSRAD G1P1 IFI-4 IFI4 K88DSRBP P136	"adenosine deaminase, RNA-specific"	Homo sapiens	NP_001020278.1
